Отметка времени,Когда вы в последний раз принимали душ на ЛШ?,В какое время дня это было?,Насколько тёплой или холодной была вода?,В каком душе это было?,Сколько людей стояло в очереди ПЕРЕД вами?,Сколько людей принимало душ ОДНОВРЕМЕННО с вами?
29.07.2018 10:34:42,давно,13:30:00,ледяная,домик,4,3
29.07.2018 10:43:45,давно,19:10:00,ледяная,домик,1,3
29.07.2018 10:45:31,вчера,16:00:00,комфортно тёплая,вагончик,0,1
29.07.2018 10:55:24,давно,12:00:00,комфортно тёплая,домик,0,0
29.07.2018 11:00:28,сегодня,6:00:00,горячая,домик,0,1
29.07.2018 11:01:55,сегодня,23:45:00,едва тёплая,домик,0,2
29.07.2018 11:05:11,давно,11:00:00,прохладная,вагончик,0,2
29.07.2018 11:06:51,давно,6:10:00,ледяная,домик,0,1
29.07.2018 11:07:22,вчера,19:30:00,комфортно тёплая,домик,0,1
29.07.2018 11:14:58,сегодня,8:30:00,едва тёплая,домик,0,2
29.07.2018 11:22:54,давно,21:00:00,прохладная,домик,0,1
29.07.2018 11:24:43,давно,11:20:00,комфортно тёплая,палатка,3,2
29.07.2018 11:25:02,давно,7:30:00,прохладная,домик,0,2
29.07.2018 11:26:37,вчера,12:30:00,комфортно тёплая,домик,0,0
29.07.2018 11:35:57,давно,9:16:00,ледяная,вагончик,0,2
29.07.2018 11:36:37,давно,19:35:00,горячая,домик,3,4
29.07.2018 11:43:11,сегодня,10:07:00,прохладная,вагончик,0,0
29.07.2018 11:46:42,давно,6:30:00,едва тёплая,вагончик,0,1
29.07.2018 11:50:58,сегодня,0:15:00,прохладная,домик,0,0
29.07.2018 11:51:21,давно,7:15:00,горячая,домик,3,4
29.07.2018 11:53:27,давно,12:00:00,горячая,домик,0,0
29.07.2018 11:54:37,вчера,12:00:00,едва тёплая,вагончик,0,1
29.07.2018 12:11:16,сегодня,9:00:00,прохладная,домик,1,4
29.07.2018 12:17:32,давно,14:30:00,комфортно тёплая,домик,2,3
29.07.2018 12:18:41,вчера,12:50:00,едва тёплая,домик,0,2
29.07.2018 12:40:32,давно,23:30:00,прохладная,домик,4,3
29.07.2018 12:56:47,давно,4:00:00,прохладная,домик,0,1
29.07.2018 13:09:39,вчера,19:00:00,едва тёплая,домик,4,4
29.07.2018 13:20:52,давно,6:00:00,ледяная,домик,0,0
29.07.2018 13:31:00,вчера,12:00:00,комфортно тёплая,домик,1,0
29.07.2018 13:31:34,сегодня,11:00:00,комфортно тёплая,палатка,0,0
29.07.2018 13:48:17,давно,23:30:00,горячая,домик,0,1
